customer_id,recency,frequency,monetary,R,F,M,segment
MH-18115,6,9,5503.093000,5,5,5,Champions
MJ-17740,23,7,6320.746000,5,4,5,Champions
MK-17905,29,8,2302.368000,4,4,3,Champions
MK-18160,241,4,1031.602000,1,2,2,Hibernating
ML-17395,70,9,2722.843000,3,5,3,Loyal
ML-17410,55,6,2921.500000,3,3,4,Loyal
ML-17755,30,7,2071.914000,4,4,3,Champions
ML-18040,80,3,742.082000,3,1,1,Hibernating
ML-18265,101,2,162.232000,3,1,1,Hibernating
MM-17260,169,4,1314.023000,2,2,2,Hibernating
MM-17920,8,11,3794.080000,5,5,4,Champions
MM-18055,62,8,2749.881000,3,4,3,Loyal
MM-18280,86,9,775.414000,3,5,1,Loyal
MN-17935,35,6,2477.946000,4,3,3,Loyal
MO-17500,73,4,922.487000,3,2,1,Hibernating
MO-17800,105,8,1687.027000,2,4,2,At Risk
MO-17950,181,2,154.288000,2,1,1,Hibernating
MP-17470,719,7,3206.132000,1,4,4,At Risk
MP-17965,73,9,3983.642000,3,5,4,Loyal
MP-18175,17,9,5087.920000,5,5,5,Champions
MR-17545,126,4,639.178000,2,2,1,Hibernating
MS-17365,274,10,7443.690000,1,5,5,At Risk
MS-17530,435,4,475.656000,1,2,1,Hibernating
MS-17710,414,6,1613.402000,1,3,2,At Risk
MS-17770,122,9,3144.678000,2,5,4,At Risk
MS-17830,453,4,370.348000,1,2,1,Hibernating
MS-17980,27,6,855.116000,4,3,1,Loyal
MT-17815,50,6,2890.139000,4,3,4,Loyal
MT-18070,204,4,1319.449800,2,2,2,Hibernating
MV-17485,28,9,1560.050000,4,5,2,Champions
MV-18190,20,7,1734.574000,5,4,2,Champions
MW-18220,18,7,5341.900000,5,4,5,Champions
MW-18235,45,2,5253.876000,4,1,5,New / Promising
MY-17380,30,7,2254.285000,4,4,3,Champions
MY-18295,72,11,4152.696000,3,5,4,Loyal
MZ-17335,31,4,593.606000,4,2,1,New / Promising
MZ-17515,283,6,2564.906000,1,3,3,At Risk
NB-18580,1166,2,273.872000,1,1,1,Hibernating
NB-18655,20,9,1972.599000,5,5,3,Champions
NC-18340,225,5,2461.404000,2,2,3,Hibernating
NC-18415,42,6,2218.990000,4,3,3,Loyal
NC-18535,7,7,8241.739000,5,4,5,Champions
NC-18625,205,5,1821.742000,2,2,3,Hibernating
ND-18370,28,9,4326.139000,4,5,5,Champions
ND-18460,184,6,2893.455000,2,3,4,At Risk
NF-18385,80,7,8322.826000,3,4,5,Loyal
NF-18475,526,4,377.162000,1,2,1,Hibernating
NF-18595,115,7,2031.472000,2,4,3,At Risk
NG-18355,49,5,1869.580000,4,2,3,New / Promising
NG-18430,49,5,1395.938000,4,2,2,New / Promising
NH-18610,190,7,2673.290000,2,4,3,At Risk
NK-18490,71,7,572.048000,3,4,1,Loyal
NL-18310,59,4,1418.090000,3,2,2,Hibernating
NM-18445,161,7,6459.344000,2,4,5,At Risk
NM-18520,245,10,2161.979000,1,5,3,At Risk
NP-18325,26,6,5529.620000,5,3,5,Loyal
NP-18670,59,5,3908.402000,3,2,4,Hibernating
NP-18685,407,6,1228.698000,1,3,2,At Risk
NP-18700,139,7,7903.182500,2,4,5,At Risk
NR-18550,211,5,2367.277000,2,2,3,Hibernating
NS-18505,7,4,2575.863000,5,2,3,New / Promising
NS-18640,175,13,2964.823000,2,5,4,At Risk
NW-18400,173,7,7234.014000,2,4,5,At Risk
NZ-18565,86,9,2488.310000,3,5,3,Loyal
ON-18715,411,9,1567.520000,1,5,2,At Risk
OT-18730,66,5,3818.624000,3,2,4,Hibernating
PA-19060,104,6,729.408000,3,3,1,Loyal
PB-18805,26,3,740.356000,5,1,1,New / Promising
PB-19105,58,4,688.324000,3,2,1,Hibernating
PB-19150,98,8,1456.950000,3,4,2,Loyal
PB-19210,688,2,132.738000,1,1,1,Hibernating
PC-18745,3,4,1832.064000,5,2,3,New / Promising
PC-19000,882,2,1061.488000,1,1,2,Hibernating
PF-19120,835,4,9062.864000,1,2,5,Hibernating
PF-19165,197,6,2770.000000,2,3,4,At Risk
PF-19225,115,5,2206.128000,2,2,3,Hibernating
PG-18820,37,13,3086.907000,4,5,4,Champions
PG-18895,58,9,1987.164000,3,5,3,Loyal
PH-18790,71,1,729.648000,3,1,1,Hibernating
PJ-18835,40,8,1220.090000,4,4,2,Champions
PJ-19015,135,7,1824.234000,2,4,3,At Risk
PK-18910,484,2,1441.152000,1,1,2,Hibernating
PK-19075,10,12,8646.934000,5,5,5,Champions
PL-18925,16,5,239.481000,5,2,1,New / Promising
PM-18940,387,3,1405.402000,1,1,2,Hibernating
PM-19135,52,4,4115.662000,4,2,4,New / Promising
PN-18775,31,8,1467.152000,4,4,2,Champions
PO-18850,5,11,7473.828200,5,5,5,Champions
PO-18865,1,7,2493.214000,5,4,3,Champions
PO-19180,161,9,4893.043000,2,5,5,At Risk
PO-19195,87,5,1056.858000,3,2,2,Hibernating
PP-18955,98,10,7252.608000,3,5,5,Loyal
PR-18880,37,5,1840.178000,4,2,3,New / Promising
PS-18760,108,6,2181.479000,2,3,3,At Risk
PS-18970,70,8,1278.639000,3,4,2,Loyal
PS-19045,237,7,6843.634000,1,4,5,At Risk
PT-19090,72,4,160.572000,3,2,1,Hibernating
PV-18985,90,5,2876.046000,3,2,4,Hibernating
PW-19030,47,10,3454.916000,4,5,4,Champions
PW-19240,465,7,3922.415000,1,4,4,At Risk
QJ-19255,26,9,6108.338000,5,5,5,Champions
RA-19285,6,9,2617.906000,5,5,3,Champions
RA-19885,44,7,3832.314000,4,4,4,Champions
RA-19915,13,9,4793.543000,5,5,5,Champions
RA-19945,62,5,1686.922500,3,2,2,Hibernating
RB-19330,69,2,1008.196000,3,1,2,Hibernating
RB-19360,97,6,15117.339000,3,3,5,Loyal
RB-19435,20,8,2663.086000,5,4,3,Champions
RB-19465,10,12,4715.466000,5,5,5,Champions
RB-19570,26,5,528.546000,5,2,1,New / Promising
RB-19645,649,5,221.084000,1,2,1,Hibernating
RB-19705,55,4,2067.450000,3,2,3,Hibernating
RB-19795,33,8,5633.316000,4,4,5,Champions
RC-19825,370,6,966.409000,1,3,2,At Risk
RC-19960,111,6,885.752000,2,3,1,At Risk
RD-19480,73,8,4272.930000,3,4,4,Loyal
RD-19585,181,10,2912.894000,2,5,4,At Risk
RD-19660,115,5,2786.632000,2,2,4,Hibernating
RD-19720,22,10,1419.737000,5,5,2,Champions
RD-19810,15,8,1137.616000,5,4,2,Champions
RD-19900,115,9,3133.924000,2,5,4,At Risk
RD-19930,43,4,970.942000,4,2,2,New / Promising
RE-19405,1098,1,48.360000,1,1,1,Hibernating
RE-19450,303,5,876.696000,1,2,1,Hibernating
RF-19345,391,8,3309.150000,1,4,4,At Risk
RF-19735,90,7,2341.296000,3,4,3,Loyal
RF-19840,7,8,945.222000,5,4,1,Champions
RH-19495,33,5,3621.376000,4,2,4,New / Promising
RH-19510,468,6,6979.180000,1,3,5,At Risk
RH-19555,520,2,740.382000,1,1,1,Hibernating
RH-19600,535,3,2085.740000,1,1,3,Hibernating
RK-19300,120,3,1460.192000,2,1,2,Hibernating
RL-19615,122,8,6234.910000,2,4,5,At Risk
RM-19375,346,6,1453.474000,1,3,2,At Risk
RM-19675,7,5,5979.096000,5,2,5,New / Promising
RM-19750,300,1,98.350000,1,1,1,Hibernating
RO-19780,36,7,3815.478000,4,4,4,Champions
RP-19270,497,4,954.645200,1,2,1,Hibernating
RP-19390,34,12,5153.084000,4,5,5,Champions
RP-19855,29,8,2170.716000,4,4,3,Champions
RR-19315,20,2,615.932000,5,1,1,New / Promising
RR-19525,171,6,3302.262000,2,3,4,At Risk
RS-19420,77,5,3221.290000,3,2,4,Hibernating
RS-19765,37,8,4159.770000,4,4,4,Champions
RS-19870,20,2,22.328000,5,1,1,New / Promising
RW-19540,121,7,7397.401000,2,4,5,At Risk
RW-19630,90,9,3279.746000,3,5,4,Loyal
RW-19690,80,5,3495.646000,3,2,4,Hibernating
SA-20830,64,10,4767.341500,3,5,5,Loyal
SB-20170,202,3,1348.020000,2,1,2,Hibernating
SB-20185,189,6,6410.996000,2,3,5,At Risk
SB-20290,48,7,8057.891000,4,4,5,Champions
SC-20020,781,5,3362.963600,1,2,4,Hibernating
SC-20050,41,9,4624.572000,4,5,5,Champions
SC-20095,350,9,14142.334000,1,5,5,At Risk
SC-20230,150,4,4371.958000,2,2,5,Hibernating
SC-20260,188,8,3729.793000,2,4,4,At Risk
SC-20305,30,7,3979.065000,4,4,4,Champions
SC-20380,31,9,5992.536000,4,5,5,Champions
SC-20440,37,7,1874.998000,4,4,3,Champions
SC-20575,93,5,902.728000,3,2,1,Hibernating
SC-20680,127,6,1254.640000,2,3,2,At Risk
SC-20695,90,10,2576.408000,3,5,3,Loyal
SC-20725,188,11,5226.210000,2,5,5,At Risk
SC-20770,42,7,4492.657000,4,4,5,Champions
SC-20800,31,4,279.256000,4,2,1,New / Promising
SC-20845,132,2,280.632000,2,1,1,Hibernating
SD-20485,201,9,6121.114000,2,5,5,At Risk
SE-20110,10,11,12209.438000,5,5,5,Champions
SF-20065,60,7,763.546000,3,4,1,Loyal
SF-20200,60,9,3422.786000,3,5,4,Loyal
SF-20965,49,9,3336.535000,4,5,4,Champions
SG-20080,9,3,3406.581000,5,1,4,New / Promising
SG-20470,184,8,1884.798000,2,4,3,At Risk
SG-20605,109,6,3124.832000,2,3,4,At Risk
SG-20890,227,3,47.946000,1,1,1,Hibernating
SH-19975,30,13,3406.839500,4,5,4,Champions
SH-20395,24,10,2180.718000,5,5,3,Champions
SH-20635,765,2,2096.392000,1,1,3,Hibernating
SJ-20125,96,12,3949.656000,3,5,4,Loyal
SJ-20215,30,6,1341.036000,4,3,2,Loyal
SJ-20500,254,5,1318.776000,1,2,2,Hibernating
SK-19990,9,3,883.409000,5,1,1,New / Promising
SL-20155,71,7,3053.012000,3,4,4,Loyal
SM-20005,422,4,244.494000,1,2,1,Hibernating
SM-20320,80,5,25043.050000,3,2,5,Hibernating
SM-20905,607,1,1043.041000,1,1,2,Hibernating
SM-20950,26,12,5563.392000,5,5,5,Champions
SN-20560,112,6,1860.418000,2,3,3,At Risk
SN-20710,80,7,3127.959200,3,4,4,Loyal
SO-20335,30,6,2602.575500,4,3,3,Loyal
SP-20545,328,6,1306.086000,1,3,2,At Risk
SP-20620,48,9,5440.319000,4,5,5,Champions
SP-20650,387,9,1872.436000,1,5,3,At Risk
SP-20860,80,10,4282.940000,3,5,5,Loyal
SP-20920,71,6,3990.689000,3,3,4,Loyal
SR-20425,9,5,3233.481000,5,2,4,New / Promising
SR-20740,197,8,4345.886000,2,4,5,At Risk
SS-20140,16,8,1324.028000,5,4,2,Champions
SS-20410,111,6,3056.807000,2,3,4,At Risk
SS-20515,492,3,613.400000,1,1,1,Hibernating
SS-20590,433,6,418.490000,1,3,1,At Risk
SS-20875,121,5,964.636000,2,2,2,Hibernating
ST-20530,126,7,433.340000,2,4,1,At Risk
SU-20665,21,7,2595.364000,5,4,3,Champions
SV-20365,102,10,11470.950000,3,5,5,Loyal
SV-20785,321,9,4105.305000,1,5,4,At Risk
SV-20815,77,4,1271.090000,3,2,2,Hibernating
SV-20935,3,8,1903.491000,5,4,3,Champions
SW-20245,82,7,1085.078000,3,4,2,Loyal
SW-20275,31,6,1966.650000,4,3,3,Loyal
SW-20350,163,3,1019.044000,2,1,2,Hibernating
SW-20455,163,7,2921.544000,2,4,4,At Risk
SW-20755,535,2,758.696000,1,1,1,Hibernating
SZ-20035,36,11,3625.329000,4,5,4,Champions
TA-21385,70,4,14595.620000,3,2,5,Hibernating
TB-21055,120,5,1467.881000,2,2,2,Hibernating
TB-21175,59,4,3589.296000,3,2,4,Hibernating
TB-21190,50,4,816.174000,4,2,1,New / Promising
TB-21250,350,7,1602.376000,1,4,2,At Risk
TB-21280,584,6,2198.450000,1,3,3,At Risk
TB-21355,147,5,834.328000,2,2,1,Hibernating
TB-21400,203,7,9133.990000,2,4,5,At Risk
TB-21520,108,9,4737.486000,2,5,5,At Risk
TB-21595,286,5,1387.559000,1,2,2,Hibernating
TB-21625,31,9,2797.668000,4,5,4,Champions
TC-20980,400,5,19052.218000,1,2,5,Hibernating
TC-21145,107,1,1038.260000,2,1,2,Hibernating
TC-21295,28,8,4266.812000,4,4,4,Champions
TC-21475,154,9,1244.976000,2,5,2,At Risk
TC-21535,5,7,742.558000,5,4,1,Champions
TD-20995,38,9,1434.548000,4,5,2,Champions
TG-21310,338,5,3058.372000,1,3,4,At Risk
TG-21640,115,4,2074.661000,2,2,3,Hibernating
TH-21100,345,5,2422.824000,1,3,3,At Risk
TH-21115,59,4,2942.772000,3,2,4,Hibernating
TH-21235,118,8,1022.201000,2,4,2,At Risk
TH-21550,73,7,4234.096000,3,4,4,Loyal
TM-21010,104,8,2955.226000,2,4,4,At Risk
TM-21490,131,3,1094.678000,2,1,2,Hibernating
TN-21040,91,7,3130.221000,3,4,4,Loyal
TP-21130,9,9,4454.056000,5,5,5,Champions
TP-21415,105,5,5329.004800,2,3,5,At Risk
TP-21565,351,4,1936.640000,1,2,3,Hibernating
TR-21325,194,5,675.942000,2,3,1,At Risk
TS-21085,358,2,4.833000,1,1,1,Hibernating
TS-21160,505,6,2163.624000,1,3,3,At Risk
TS-21205,199,7,5371.090000,2,4,5,At Risk
TS-21340,227,5,974.782000,1,3,2,At Risk
TS-21370,37,6,11891.751000,4,3,5,Loyal
TS-21430,173,5,2054.140000,2,3,3,At Risk
TS-21505,12,6,2243.274000,5,3,3,Loyal
TS-21610,56,7,2820.424000,3,4,4,Loyal
TS-21655,239,5,3368.094000,1,3,4,At Risk
TT-21070,32,7,4915.602000,4,4,5,Champions
TT-21220,184,8,1427.044000,2,4,2,At Risk
TT-21265,407,3,439.500000,1,1,1,Hibernating
TT-21460,13,7,5364.808000,5,4,5,Champions
TW-21025,65,7,5278.826000,3,4,5,Loyal
TZ-21580,36,4,1707.286000,4,2,2,New / Promising
VB-21745,55,6,2005.596000,3,3,3,Loyal
VD-21670,582,6,6442.254000,1,3,5,At Risk
VF-21715,14,5,847.944000,5,3,1,Loyal
VG-21790,155,6,846.010000,2,3,1,At Risk
VG-21805,287,5,427.372000,1,3,1,At Risk
VM-21685,55,7,2454.866000,3,4,3,Loyal
VM-21835,118,5,380.690000,2,3,1,At Risk
VP-21730,31,3,993.902000,4,1,2,New / Promising
VP-21760,76,7,3360.526000,3,4,4,Loyal
VS-21820,222,4,1055.981000,2,2,2,Hibernating
VT-21700,1000,2,1736.596000,1,1,2,Hibernating
VW-21775,29,10,6134.038000,4,5,5,Champions
WB-21850,21,11,6160.102000,5,5,5,Champions
XP-21865,44,11,2374.658000,4,5,3,Champions
YC-21895,5,5,5454.350000,5,3,5,Loyal
YS-21880,10,8,6720.444000,5,4,5,Champions
ZC-21910,55,13,8025.707000,3,5,5,Loyal
ZD-21925,203,5,1493.944000,2,3,2,At Risk
